# CONVERGE Release Build 2.4.21/  Sep 13, 2018       Run Date:Sat Apr  1 22:40:33 2023
# column             1                     2                     3                     4                     5                     6                     7                     8                     9                    10                    11                    12                    13                    14
#                 Time          Cycle_Number             Flow_Rate              Tot_Mass              Velocity              Tot_Pres           Static_Pres              Avg_Temp             Flow_Rate              Tot_Mass              Velocity              Tot_Pres           Static_Pres              Avg_Temp
#            (seconds)              (number)                (kg/s)                  (kg)                 (m/s)                  (Pa)                  (Pa)                   (K)                (kg/s)                  (kg)                 (m/s)                  (Pa)                  (Pa)                   (K)
#               (none)                (none)        Regions_1_to_2        Regions_1_to_2        Regions_1_to_2        Regions_1_to_2        Regions_1_to_2        Regions_1_to_2        Regions_1_to_3        Regions_1_to_3        Regions_1_to_3        Regions_1_to_3        Regions_1_to_3        Regions_1_to_3
         2.4760317e-02                  1838         1.8157732e-01         1.3901171e-04         2.0693136e+02         5.4768297e+05         3.9041198e+05         1.1663871e+03        -6.9032404e-05         3.4861026e-06        -1.4489617e-02         2.6001923e+05         2.6001256e+05         5.7861222e+02
         2.4840432e-02                  1929         1.8115591e-01         1.5361173e-04         2.0385241e+02         5.1493984e+05         3.7285074e+05         1.1582212e+03        -2.3755363e-04         3.4741065e-06        -4.9032376e-02         2.5978096e+05         2.5977438e+05         5.7365185e+02
         2.4920331e-02                  2012         1.7833020e-01         1.6800913e-04         1.9144425e+02         4.8612088e+05         3.6219738e+05         1.1528453e+03        -1.4958878e-04         3.4553712e-06        -3.0397706e-02         2.6034202e+05         2.6033626e+05         5.7001042e+02
         2.5000481e-02                  2097         1.7346695e-01         1.8210682e-04         1.8439233e+02         4.5906223e+05         3.5317924e+05         1.1477176e+03        -9.3104248e-05         3.4488152e-06        -1.8859731e-02         2.5973816e+05         2.5973276e+05         5.6588773e+02
         2.5080481e-02                  2169         1.6459765e-01         1.9561996e-04         1.6827216e+02         4.3097144e+05         3.4301967e+05         1.1422000e+03        -2.2389240e-04         3.4334757e-06        -4.4913079e-02         2.6009410e+05         2.6008894e+05         5.6175767e+02
         2.5160393e-02                  2247         1.5618661e-01         2.0844722e-04         1.5540515e+02         4.0748593e+05         3.3444874e+05         1.1375524e+03        -3.7812412e-05         3.4221165e-06        -7.7779018e-03         2.6011279e+05         2.6010824e+05         5.5971018e+02
         2.5240610e-02                  2313         1.4565042e-01         2.2057847e-04         1.4517097e+02         3.8356057e+05         3.2328939e+05         1.1309203e+03        -1.4305151e-04         3.4162125e-06        -2.8837673e-02         2.5977526e+05         2.5977077e+05         5.5655680e+02
         2.5320644e-02                  2379         1.3568107e-01         2.3181905e-04         1.3178823e+02         3.6049469e+05         3.1127080e+05         1.1239867e+03        -1.2211326e-04         3.4031598e-06        -2.4532424e-02         2.6024463e+05         2.6024054e+05         5.5362696e+02
         2.5400828e-02                  2441         1.2490869e-01         2.4228026e-04         1.2062973e+02         3.3941541e+05         2.9942760e+05         1.1173185e+03        -5.0424516e-05         3.3972904e-06        -1.0086563e-02         2.5987951e+05         2.5987570e+05         5.5071598e+02
         2.5480295e-02                  2501         1.1340195e-01         2.5172860e-04         1.0911246e+02         3.1896873e+05         2.8689751e+05         1.1089969e+03         2.5700245e-02         3.8932141e-06         5.3808381e+00         2.6964596e+05         2.6776654e+05         5.8547429e+02
         2.5560608e-02                  2575         1.0063496e-01         2.6037150e-04         9.6912417e+01         2.9902250e+05         2.7457029e+05         1.1016924e+03         3.3286609e-02         6.3210931e-06         7.4769689e+00         2.6315530e+05         2.6122190e+05         6.4336320e+02
         2.5640026e-02                  2647         8.5103524e-02         2.6770964e-04         8.2621024e+01         2.7608962e+05         2.5879397e+05         1.0905747e+03         3.5849129e-02         9.3011600e-06         8.4527858e+00         2.5583190e+05         2.5326749e+05         6.6225593e+02
         2.5722011e-02                  2708         6.9944749e-02         2.7407986e-04         6.8323238e+01         2.5906177e+05         2.4745759e+05         1.0822948e+03         2.1810467e-02         1.1673001e-05         5.0716688e+00         2.5876514e+05         2.5781736e+05         6.5995640e+02
         2.5801411e-02                  2740         5.4583979e-02         2.7900782e-04         5.2464178e+01         2.4673328e+05         2.3992565e+05         1.0757962e+03         2.6870423e-03         1.2695511e-05         6.2493791e-01         2.5364076e+05         2.5329490e+05         6.4133569e+02
         2.5880478e-02                  2769         3.9903704e-02         2.8270466e-04         3.7860912e+01         2.3913803e+05         2.3552338e+05         1.0702026e+03        -3.4645325e-02         1.1454281e-05        -7.8432561e+00         2.5517734e+05         2.5355888e+05         6.0130751e+02
         2.5960024e-02                  2804         2.7970592e-02         2.8535851e-04         2.4720545e+01         2.3895437e+05         2.3722297e+05         1.0699267e+03        -5.7862311e-02         7.6080413e-06        -1.2904987e+01         2.5741430e+05         2.5432545e+05         5.9347664e+02
         2.6041442e-02                  2851         1.8010539e-02         2.8721748e-04         1.5050877e+01         2.4245921e+05         2.4173087e+05         1.0699028e+03        -7.0218733e-02         2.2569146e-06        -1.5456176e+01         2.5876251e+05         2.5514804e+05         5.8369768e+02
